127.0.0.1 - - [12/Jun/2024:20:12:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:17 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/login.jsp HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:17 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/css/jumbotronCustom.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:22 +0900] "POST /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/loginAction.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:23 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/main.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:23 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/css/jumbotronCustom.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:24 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/bbs.jsp HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:24 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/css/jumbotronCustom.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:26 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/planner/planner.jsp HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:59 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/write.jsp HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:12:59 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/css/jumbotronCustom.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:15:32 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/main.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:15:32 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/css/jumbotronCustom.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:15:34 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/bbs.jsp HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [12/Jun/2024:20:15:34 +0900] "GET /ToDoList%EA%B3%B5%EC%9C%A0_%EA%B2%8C%EC%8B%9C%ED%8C%90/css/jumbotronCustom.css HTTP/1.1" 404 893
